Region,Theaters,Museums,Cultural and leisure facilities,Cinemas,Libraries,Concert organizations,Parks,Zoos,Circuses
The Republic Kazakhstan,73,271,3 102,105,3 917,44,208,13,3
Область Абай,1,8,125,3,137,1,6,1,
Akmola Region,2,15,261,2,339,0,3,х,0
Aktobe Region,2,20,202,2,237,1,9,2,0
Almaty Region,2,16,118,0,133,0,11,0,0
Atyrau Region,1,16,82,4,143,2,9,0,0
West Kazakhstan Region,2,19,269,9,362,3,11,0,0
Zhambyl Region,3,17,199,5,275,1,13,0,0
Zhetysu Region,0,14,134,2,149,3,1,0,
Karaganda Region,4,16,255,8,257,1,19,1,0
Kostanay Region,4,9,244,7,340,1,9,0,0
Kyzylorda Region,1,14,172,2,209,2,3,0,0
Mangystau Region,2,7,42,6,68,1,10,0,0
Pavlodar Region,2,12,280,5,228,1,4,0,0
North Kazakhstan Region,3,13,240,4,318,1,6,2,0
Turkestan Region,3,27,252,3,395,0,27,0,0
Ulytau Region Region,0,6,43,0,57,1,2,0,
East Kazakhstan Region,1,9,172,3,170,1,5,2,0
Astana city,9,9,1,11,23,4,22,х,1
Almaty city,23,19,1,21,33,17,20,2,1
Shymkent city,6,5,10,6,44,1,18,1,1
